Subject,Course Name,Course URL
"Programming
          ",Using Python to Access Web Data,https://www.class-central.com/course/coursera-using-python-to-access-web-data-4343
"Programming
          ",Using Databases with Python,https://www.class-central.com/course/coursera-using-databases-with-python-4272
"Art & Design
          ",Introduction to Real-Time Audio Programming in ChucK,https://www.class-central.com/course/kadenze-introduction-to-real-time-audio-programming-in-chuck-3749
"Art & Design
          ",The Art of Photography,https://www.class-central.com/course/open2study-the-art-of-photography-1560
"Humanities
          ",Comprendere la filosofia,https://www.class-central.com/course/edx-comprendere-la-filosofia-9240
"Humanities
          ",L'Italiano nel mondo,https://www.class-central.com/course/edx-l-italiano-nel-mondo-9241
"Science
          ",Understanding the Brain: The Neurobiology of Everyday Life,https://www.class-central.com/course/coursera-understanding-the-brain-the-neurobiology-of-everyday-life-1606
"Science
          ",Anatomy: Know Your Abdomen,https://www.class-central.com/course/futurelearn-anatomy-know-your-abdomen-5008
"Data Science
          ",Statistical Thinking for Data Science and Analytics,https://www.class-central.com/course/edx-statistical-thinking-for-data-science-and-analytics-4913
"Data Science
          ",Statistics and R,https://www.class-central.com/course/edx-statistics-and-r-2960
"Mathematics
          ",Introduction to Differential Equations,https://www.class-central.com/course/complexity-explorer-introduction-to-differential-equations-11477
"Mathematics
          ",Introduction to Linear Models and Matrix Algebra,https://www.class-central.com/course/edx-introduction-to-linear-models-and-matrix-algebra-2963
"Education & Teaching
          ",Prepare to Run a Code Club,https://www.class-central.com/course/futurelearn-prepare-to-run-a-code-club-9557
"Education & Teaching
          ",Computational Thinking for K-12 Educators: Conditional Loops and If Statements,https://www.class-central.com/course/coursera-computational-thinking-for-k-12-educators-conditional-loops-and-if-statements-12349
"Business
          ",Human Resources,https://www.class-central.com/course/open2study-human-resources-1640
"Business
          ",Becoming a changemaker: Introduction to Social Innovation,https://www.class-central.com/course/coursera-becoming-a-changemaker-introduction-to-social-innovation-6655
"Business
          ",Marketing Digital: Content & Community Manager,https://www.class-central.com/course/edx-marketing-digital-content-community-manager-10386
"Computer Science
          ","Internet History, Technology, and Security",https://www.class-central.com/course/coursera-internet-history-technology-and-security-335
"Computer Science
          ",Principles of Computing (Part 1),https://www.class-central.com/course/coursera-principles-of-computing-part-1-1724
"Computer Science
          ",CS188.1x: Artificial Intelligence,https://www.class-central.com/course/edx-cs188-1x-artificial-intelligence-445
"Health & Medicine
          ",Stanford Introduction to Food and Health,https://www.class-central.com/course/coursera-stanford-introduction-to-food-and-health-5057
"Health & Medicine
          ",Child Nutrition and Cooking,https://www.class-central.com/course/coursera-child-nutrition-and-cooking-816
"Social Sciences
          ",Introduction to Neuroeconomics: How the Brain Makes Decisions,https://www.class-central.com/course/coursera-introduction-to-neuroeconomics-how-the-brain-makes-decisions-1387
"Social Sciences
          ",Intro to Psychology,https://www.class-central.com/course/udacity-intro-to-psychology-830
"Personal Development
          ",Writing Winning Resumes and Cover Letters,https://www.class-central.com/course/coursera-writing-winning-resumes-and-cover-letters-5477
"Personal Development
          ",Speaking to persuade: Motivating audiences with solid arguments and moving language,https://www.class-central.com/course/coursera-speaking-to-persuade-motivating-audiences-with-solid-arguments-and-moving-language-7461
"Engineering
          ",Mechanics of Materials II: Thin-Walled Pressure Vessels and Torsion,https://www.class-central.com/course/coursera-mechanics-of-materials-ii-thin-walled-pressure-vessels-and-torsion-5385
"Engineering
          ",Advanced Engineering Systems in Motion: Dynamics of Three Dimensional (3D) Motion,https://www.class-central.com/course/coursera-advanced-engineering-systems-in-motion-dynamics-of-three-dimensional-3d-motion-2064
"Programming
          ",Introduction to Programming with MATLAB,https://www.class-central.com/course/coursera-introduction-to-programming-with-matlab-3396
"Programming
          ",Learn to Program: The Fundamentals,https://www.class-central.com/course/coursera-learn-to-program-the-fundamentals-385
"Art & Design
          ",Sound Production in Ableton Live for Musicians and Artists,https://www.class-central.com/course/kadenze-sound-production-in-ableton-live-for-musicians-and-artists-3765
"Art & Design
          ",Songwriting: Writing the Lyrics,https://www.class-central.com/course/coursera-songwriting-writing-the-lyrics-523
"Humanities
          ",Chinese for Beginners,https://www.class-central.com/course/coursera-chinese-for-beginners-2353
"Humanities
          ",The French Revolution,https://www.class-central.com/course/coursera-the-french-revolution-1705
"Science
          ",Understanding Einstein: The Special Theory of Relativity,https://www.class-central.com/course/coursera-understanding-einstein-the-special-theory-of-relativity-765
"Science
          ",Dog Emotion and Cognition,https://www.class-central.com/course/coursera-dog-emotion-and-cognition-3627
"Data Science
          ",Regression Models,https://www.class-central.com/course/coursera-regression-models-1718
"Data Science
          ",Introduction to Python for Data Science,https://www.class-central.com/course/edx-introduction-to-python-for-data-science-5683
"Mathematics
          ",Introductory Statistics : Basic Ideas and Instruments for Statistical Inference,https://www.class-central.com/course/edx-introductory-statistics-basic-ideas-and-instruments-for-statistical-inference-10115
"Mathematics
          ",Introductory Statistics : Sample Survey and Instruments for Statistical Inference,https://www.class-central.com/course/edx-introductory-statistics-sample-survey-and-instruments-for-statistical-inference-12755
"Mathematics
          ",Introductory Statistics : Analyzing Data Using Graphs and Statistics,https://www.class-central.com/course/edx-introductory-statistics-analyzing-data-using-graphs-and-statistics-10114
"Education & Teaching
          ",Computational Thinking for K-12 Educators: Variables and Nested Loops,https://www.class-central.com/course/coursera-computational-thinking-for-k-12-educators-variables-and-nested-loops-12363
